file,size,status,sha256
19世纪后期英国煤矿事故家庭的经济保障机制.pdf,1854403,PDF,5401592c17e4bc33
2006—2020年《中国感染与化疗杂志》零被引论文特征分析.pdf,1141137,PDF,0f1c828b7c088a16
2006—2020年《中国感染与化疗杂志》高被引论文特征分析.pdf,1165308,PDF,f1baf04dce9b8d2e
BrownHarlowStarks1996.pdf,3132480,PDF,f56b7a9b8d7a79b2
Cinelli and Hazlett (2020) - Making Sense of Sensitivity.pdf,811753,PDF,6b31f4da92c15842
ESG投资提高了基金业绩吗？——兼论ESG投资对“业绩-资金流量关系”的影响.pdf,859439,PDF,0ccd91a3d65145e7
Fama-French_JFE93.pdf,3486088,PDF,f9df2e67a523c3cd
Fama-MacBeth-Risk-return-and-equilibrium-Empirical-tests-1973.pdf,827765,PDF,631c1fcace695784
Herding_020109.pdf,300480,PDF,a4d57ece6cecac0b
Jegadeesh_Titman_1993.pdf,736136,PDF,35a4fc313b0300bf
Mert81.pdf,4302361,PDF,c4b508c2524eeefd
QFII与境内机构投资者羊群行为的实证研究.pdf,507823,PDF,68d1b25786e8b0c6
QFII在中国证券市场的“羊群行为”研究.pdf,690568,PDF,7c08290f48eae904
The Journal of Finance - 2002 - Wermers - Mutual Fund Herding and the Impact on Stock Prices.pdf,289743,PDF,081d441283689657
carhart1997.pdf,1908748,PDF,58e49974b36d29d4
disposition-sell-winners-too-early.pdf,1821987,PDF,5af0d614d8249ec1
downside.pdf,274340,PDF,7e60a836dfc0ec7b
impact_instit_trading.pdf,1366945,PDF,f23f2818a1b55486
koenker-bassett.pdf,2060914,PDF,9bb7d43ab71a7869
“与众不同”的价值_中国公募基金家族反羊群行为与投资能力的关系.pdf,1648023,PDF,5645dc26a94e8444
“和而不群”还是“卓尔不群”_——基于基金网络信息使用的视角.pdf,627608,PDF,534f24ac6f4c2251
“强者”一定“恒强”吗_——来自中国股票型公募基金动量效应研究的新发现.pdf,410809,PDF,7f992784a857578d
不进则退：基金锦标赛中基金经理的选股信息来源.pdf,1819873,PDF,5af8550d6f160935
业绩排名与预期风险调整——考虑报酬激励与解职风险交互影响的新证据.pdf,964557,PDF,ac1999dba3035b9a
业绩排名对基金情绪风险调整行为的影响.pdf,1461668,PDF,3b8358c69e3acd50
业绩排名对基金风格漂移的影响研究.pdf,1970175,PDF,dd59dc22d29c7b75
