file,category,size
19世纪后期英国煤矿事故家庭的经济保障机制.pdf,IRRELEVANT,1854403
2006—2020年《中国感染与化疗杂志》零被引论文特征分析.pdf,IRRELEVANT,1141137
2006—2020年《中国感染与化疗杂志》高被引论文特征分析.pdf,IRRELEVANT,1165308
BrownHarlowStarks1996.pdf,CORE_INTL,3132480
Cinelli and Hazlett (2020) - Making Sense of Sensitivity.pdf,CORE_INTL,811753
ESG投资提高了基金业绩吗？——兼论ESG投资对“业绩-资金流量关系”的影响.pdf,CN_PERF_BEHAVIOR,859439
Fama-French_JFE93.pdf,CORE_INTL,3486088
Fama-MacBeth-Risk-return-and-equilibrium-Empirical-tests-1973.pdf,CORE_INTL,827765
Herding_020109.pdf,CORE_INTL,300480
Jegadeesh_Titman_1993.pdf,CORE_INTL,736136
Mert81.pdf,CORE_INTL,4302361
QFII与境内机构投资者羊群行为的实证研究.pdf,CN_HERDING,507823
QFII在中国证券市场的“羊群行为”研究.pdf,CN_HERDING,690568
The Journal of Finance - 2002 - Wermers - Mutual Fund Herding and the Impact on Stock Prices.pdf,CORE_INTL,289743
carhart1997.pdf,CORE_INTL,1908748
disposition-sell-winners-too-early.pdf,CORE_INTL,1821987
downside.pdf,CORE_INTL,274340
impact_instit_trading.pdf,CORE_INTL,1366945
koenker-bassett.pdf,CORE_INTL,2060914
“与众不同”的价值_中国公募基金家族反羊群行为与投资能力的关系.pdf,CN_HERDING,1648023
“和而不群”还是“卓尔不群”_——基于基金网络信息使用的视角.pdf,CN_FUND_OTHER,627608
“强者”一定“恒强”吗_——来自中国股票型公募基金动量效应研究的新发现.pdf,CN_PERF_BEHAVIOR,410809
不进则退：基金锦标赛中基金经理的选股信息来源.pdf,CN_TOURNAMENT,1819873
业绩排名与预期风险调整——考虑报酬激励与解职风险交互影响的新证据.pdf,CN_TOURNAMENT,964557
业绩排名对基金情绪风险调整行为的影响.pdf,CN_TOURNAMENT,1461668
业绩排名对基金风格漂移的影响研究.pdf,CN_TOURNAMENT,1970175
业绩排名对投资风格影响研究——来自开放式基金的证据.pdf,CN_TOURNAMENT,362264
